Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
REPORT WRITTEN (NO ARREST),911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",TRAFFIC - MV COLLISION INVESTIGATION,2/27/2022 2:16,2/27/2022 2:21,SOUTH,SAM,S1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/27/2022 1:48,2/27/2022 1:48,WEST,KING,K2
ASSISTANCE RENDERED,911,2,DUI - DRIVING UNDER INFLUENCE,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/27/2022 1:39,2/27/2022 2:08,SOUTHWEST,WILLIAM,W3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",4,"NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCE - NOISE,2/27/2022 1:22,2/27/2022 2:01,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/27/2022 1:12,2/27/2022 2:05,NORTH,UNION,U3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/27/2022 1:11,2/27/2022 1:19,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/27/2022 0:53,2/27/2022 4:10,SOUTH,ROBERT,R1
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY","PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",2/27/2022 0:49,2/27/2022 0:49,WEST,DAVID,D2
ASSISTANCE RENDERED,911,3,"NOISE - DISTURBANCE (PARTY, ETC)",DISTURBANCE - NOISE,2/27/2022 0:36,2/27/2022 1:46,NORTH,UNION,U2
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - PERSON SHOT OR SHOT AT,ASSAULTS - FIREARM INVOLVED,2/27/2022 0:33,2/27/2022 0:34,EAST,EDWARD,E3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/27/2022 0:27,2/27/2022 0:27,EAST,GEORGE,G1
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/27/2022 0:19,2/27/2022 0:22,WEST,DAVID,D1
DUPLICATED OR CANCELLED BY RADIO,911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO","MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",2/27/2022 0:17,1/1/1900 0:00,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,911,2,TRESPASS,DISTURBANCE - OTHER,2/27/2022 0:11,2/27/2022 0:25,EAST,EDWARD,E3
ASSISTANCE RENDERED,911,3,"HARAS - NO BIAS, THREATS OR MALICIOUSNESS",DISTURBANCE - NOISE RESIDENTIAL,2/27/2022 0:05,2/27/2022 4:13,SOUTH,ROBERT,R2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,2/26/2022 23:53,2/27/2022 0:00,WEST,KING,K1
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/26/2022 23:50,2/26/2022 23:50,NORTH,JOHN,J1
-,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY","PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",2/26/2022 23:28,2/26/2022 23:28,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 23:20,2/26/2022 23:37,SOUTH,SAM,S2
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/26/2022 22:59,2/26/2022 23:32,NORTH,NORA,N3
REPORT WRITTEN (NO ARREST),911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 22:57,2/26/2022 23:27,WEST,DAVID,D3
DUPLICATED OR CANCELLED BY RADIO,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,2/26/2022 22:52,2/26/2022 23:59,EAST,GEORGE,G1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/26/2022 22:50,2/26/2022 23:14,WEST,QUEEN,Q3
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - FOOT BEAT (FROM ASSIGNED CAR),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/26/2022 22:44,2/26/2022 22:44,SOUTH,SAM,S1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/26/2022 22:38,2/26/2022 22:38,WEST,KING,K1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/26/2022 22:26,2/26/2022 22:29,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/26/2022 22:07,2/26/2022 22:07,WEST,QUEEN,Q2
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),2,ALARM - RESIDENTIAL - SILENT/AUD PANIC/DURESS,ALARM-RESIDENTIAL PANIC OR DURESS,2/26/2022 21:59,2/26/2022 22:05,SOUTH,SAM,S1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/26/2022 21:51,2/26/2022 21:56,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,2/26/2022 21:38,2/26/2022 21:44,SOUTH,SAM,S2
PHYSICAL ARREST MADE,ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/26/2022 21:38,2/26/2022 21:38,NORTH,NORA,N3
PHYSICAL ARREST MADE,ONVIEW,2,WARRANT - FELONY PICKUP,WARRANT SERVICES - MISDEMEANOR,2/26/2022 21:30,2/26/2022 21:30,WEST,MARY,M2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/26/2022 21:30,2/26/2022 22:15,SOUTHWEST,WILLIAM,W2
-,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 21:26,2/26/2022 21:39,WEST,QUEEN,Q2
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,3,AUTO RECOVERY,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/26/2022 21:20,2/26/2022 21:20,NORTH,LINCOLN,L2
ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,2/26/2022 21:20,2/26/2022 21:20,NORTH,NORA,N1
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/26/2022 21:08,2/26/2022 21:08,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,911,2,TRESPASS,DISTURBANCE - OTHER,2/26/2022 21:06,2/26/2022 21:14,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,ONVIEW,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 21:00,2/26/2022 21:00,NORTH,UNION,U3
ASSISTANCE RENDERED,911,2,FOLLOW UP,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/26/2022 20:47,2/26/2022 21:04,SOUTH,OCEAN,O3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/26/2022 20:39,2/26/2022 21:21,EAST,CHARLIE,C1
ASSISTANCE RENDERED,911,2,TRAFFIC - BLOCKING ROADWAY,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 20:23,2/26/2022 20:28,EAST,EDWARD,E3
ASSISTANCE RENDERED,ONVIEW,3,TRAFFIC - ASSIST MOTORIST,TRAFFIC - ASSIST MOTORIST,2/26/2022 20:22,2/26/2022 20:22,NORTH,BOY,B1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,TRAFFIC - BO SIGNALS AND DOWN SIGNS,ASSIST OTHER AGENCY - CITY AGENCY,2/26/2022 20:07,2/26/2022 20:07,SOUTHWEST,FRANK,F1
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - PERSON SHOT OR SHOT AT,PROPERTY DEST (DAMG),2/26/2022 19:56,2/26/2022 20:00,NORTH,UNION,U1
REPORT WRITTEN (NO ARREST),911,2,"DISTURBANCE, MISCELLANEOUS/OTHER","DV - ARGUMENTS, DISTURBANCE (NO ARREST)",2/26/2022 19:55,2/26/2022 20:08,EAST,CHARLIE,C2
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 19:54,2/26/2022 20:10,EAST,EDWARD,E3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",5,TRU - SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/26/2022 19:51,2/26/2022 22:48,SOUTHWEST,WILLIAM,W3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/26/2022 19:45,2/26/2022 21:48,WEST,MARY,M1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",TRAFFIC - MV COLLISION INVESTIGATION,2/26/2022 19:42,2/26/2022 20:31,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,911,2,TRESPASS,MISCHIEF OR NUISANCE - GENERAL,2/26/2022 19:20,2/26/2022 20:11,SOUTHWEST,WILLIAM,W2
DUPLICATED OR CANCELLED BY RADIO,911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,2/26/2022 19:18,1/1/1900 0:00,NORTH,UNION,U3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",1,DIST - IP/JO - DV DIST - NO ASLT,DISTURBANCE - OTHER,2/26/2022 19:10,2/26/2022 19:25,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/26/2022 18:48,2/26/2022 19:47,NORTH,LINCOLN,L1
PHYSICAL ARREST MADE,"TELEPHONE OTHER, NOT 911",1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - D.U.I.,2/26/2022 18:44,2/26/2022 18:59,EAST,CHARLIE,C3
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 18:42,2/26/2022 19:30,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,2/26/2022 18:28,2/26/2022 18:39,SOUTH,ROBERT,R3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 17:25,2/26/2022 17:53,SOUTHWEST,WILLIAM,W2
RESPONDING UNIT(S) CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/26/2022 17:24,1/1/1900 0:00,NORTH,UNION,U2
-,"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,TRU - MVC - HIT AND RUN,2/26/2022 17:10,2/27/2022 0:51,NORTH,NORA,N2
OTHER REPORT MADE,911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,2/26/2022 17:08,2/26/2022 17:18,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,911,3,NUISANCE - MISCHIEF,MISCHIEF OR NUISANCE - GENERAL,2/26/2022 17:07,1/1/1900 0:00,NORTH,JOHN,J2
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/26/2022 16:49,2/26/2022 20:25,NORTH,BOY,B3
REPORT WRITTEN (NO ARREST),911,1,DIST - IP/JO - DV DIST - NO ASLT,DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),2/26/2022 16:42,2/26/2022 16:56,SOUTH,SAM,S1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",2/26/2022 16:28,2/26/2022 19:36,NORTH,JOHN,J3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,TRAFFIC - MV COLLISION INVESTIGATION,2/26/2022 16:27,2/26/2022 21:43,SOUTH,SAM,S2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/26/2022 16:25,2/26/2022 16:31,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,ONVIEW,3,DEMONSTRATIONS,DEMONSTRATIONS,2/26/2022 15:50,2/26/2022 15:50,EAST,EDWARD,E2
REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/26/2022 15:14,2/26/2022 15:14,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),ASSIST OTHER AGENCY - CITY AGENCY,2/26/2022 15:09,2/26/2022 15:40,NORTH,JOHN,J2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 15:04,2/26/2022 15:32,WEST,QUEEN,Q3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/26/2022 15:03,1/1/1900 0:00,EAST,EDWARD,E1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,SHOPLIFT - THEFT,THEFT - SHOPLIFT,2/26/2022 14:54,2/26/2022 20:15,WEST,MARY,M3
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/26/2022 14:22,2/26/2022 14:22,NORTH,NORA,N2
DUPLICATED OR CANCELLED BY RADIO,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER","DISTURBANCE, MISCELLANEOUS/OTHER",2/26/2022 14:17,1/1/1900 0:00,WEST,KING,K3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/26/2022 14:02,2/26/2022 14:15,NORTH,JOHN,J3
"INCIDENT LOCATED, PUBLIC ORDER RESTORED",911,2,TRESPASS,PROWLER - TRESPASS,2/26/2022 13:35,2/26/2022 13:37,WEST,MARY,M1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,1,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 13:33,2/26/2022 13:44,NORTH,BOY,B1
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),DISTURBANCE - OTHER,2/26/2022 13:28,2/26/2022 13:32,WEST,QUEEN,Q3
REPORT WRITTEN (NO ARREST),911,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,2/26/2022 13:20,2/26/2022 14:06,WEST,KING,K2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/26/2022 13:19,2/26/2022 14:05,EAST,GEORGE,G1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,2/26/2022 13:17,2/26/2022 13:27,WEST,DAVID,D2
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",2,TRAFFIC - MOVING VIOLATION,TRAFFIC - COMMUNITY TRAFFIC COMPLAINT (CTC),2/26/2022 12:55,1/1/1900 0:00,NORTH,LINCOLN,L1
NO POLICE ACTION POSSIBLE OR NECESSARY,TEXT MESSAGE,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,2/26/2022 12:52,2/26/2022 16:16,NORTH,UNION,U2
ASSISTANCE RENDERED,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/26/2022 12:43,2/26/2022 12:48,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,ONVIEW,-1,DOWN - CHECK FOR DOWN PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 12:14,2/26/2022 12:14,NORTH,LINCOLN,L1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS - NARS REPORT,2/26/2022 12:11,2/26/2022 12:43,NORTH,NORA,N3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,FOUND - PERSON,CRISIS COMPLAINT - GENERAL,2/26/2022 11:59,2/26/2022 12:05,NORTH,JOHN,J3
REPORT WRITTEN (NO ARREST),911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),"ASSAULTS, OTHER",2/26/2022 11:47,2/26/2022 12:07,NORTH,NORA,N3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 11:40,2/26/2022 12:14,EAST,EDWARD,E3
ASSISTANCE RENDERED,911,3,TRAFFIC - MOVING VIOLATION,TRAFFIC - MOVING VIOLATION,2/26/2022 10:58,2/26/2022 11:04,NORTH,UNION,U3
ASSISTANCE RENDERED,ONVIEW,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,2/26/2022 10:44,2/26/2022 10:44,NORTH,LINCOLN,L1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,THREATS - DV - NO ASSAULT,"ASSAULTS - HARASSMENT, THREATS",2/26/2022 10:41,2/26/2022 13:02,WEST,QUEEN,Q1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/26/2022 10:40,2/26/2022 10:50,SOUTH,ROBERT,R2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/26/2022 10:39,1/1/1900 0:00,NORTH,LINCOLN,L1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,PROPERTY - DAMAGE (GUN RELATED),PROPERTY DEST (DAMG),2/26/2022 10:08,1/1/1900 0:00,WEST,QUEEN,Q1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/26/2022 10:02,2/26/2022 13:32,NORTH,BOY,B2
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 9:59,2/26/2022 11:57,SOUTH,SAM,S2
PHYSICAL ARREST MADE,ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - SHOPLIFT,2/26/2022 9:20,2/26/2022 9:20,EAST,EDWARD,E2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - SHOPLIFT,THEFT - CAR PROWL,2/26/2022 9:20,2/26/2022 9:20,NORTH,UNION,U3
ORAL WARNING GIVEN,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",PROWLER - TRESPASS,2/26/2022 9:18,2/26/2022 9:24,WEST,DAVID,D2
ASSISTANCE RENDERED,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/26/2022 9:16,2/26/2022 9:19,WEST,KING,K2
ASSISTANCE RENDERED,911,1,DOWN - CHECK FOR PERSON DOWN,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 8:54,2/26/2022 9:04,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - NOISE,2/26/2022 8:52,2/26/2022 9:07,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 8:52,2/26/2022 9:34,NORTH,BOY,B2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,DIST - DV - NO ASLT,"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",2/26/2022 8:48,2/26/2022 10:00,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,911,3,DOWN - CHECK FOR DOWN PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 8:47,1/1/1900 0:00,WEST,QUEEN,Q2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,TRESPASS,PROWLER - TRESPASS,2/26/2022 8:36,2/26/2022 12:52,WEST,MARY,M3
ASSISTANCE RENDERED,911,1,FIGHT - IP - PHYSICAL (NO WEAPONS),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/26/2022 8:09,2/26/2022 8:15,NORTH,LINCOLN,L3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - ALL OTHER,2/26/2022 8:03,2/26/2022 8:16,EAST,EDWARD,E2
RESPONDING UNIT(S) CANCELLED BY RADIO,911,2,TRESPASS,PROWLER - TRESPASS,2/26/2022 7:59,1/1/1900 0:00,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/26/2022 7:42,2/26/2022 7:46,EAST,EDWARD,E1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/26/2022 7:38,2/26/2022 8:10,EAST,GEORGE,G2
ASSISTANCE RENDERED,911,2,DOWN - CHECK FOR DOWN PERSON,PROWLER - TRESPASS,2/26/2022 7:37,2/26/2022 8:08,WEST,KING,K1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/26/2022 7:22,2/26/2022 11:05,NORTH,BOY,B1
REPORT WRITTEN (NO ARREST),911,3,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",TRAFFIC - MV COLLISION INVESTIGATION,2/26/2022 6:40,2/26/2022 7:24,NORTH,BOY,B2
ASSISTANCE RENDERED,911,2,TRESPASS,PROWLER - TRESPASS,2/26/2022 5:40,2/26/2022 5:46,SOUTH,ROBERT,R1
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/26/2022 5:16,2/26/2022 5:20,WEST,MARY,M3
ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/26/2022 5:12,2/26/2022 5:12,SOUTH,ROBERT,R1
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/26/2022 5:10,2/26/2022 5:10,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,911,2,MVC - UNK INJURIES,HAZARDS - HAZARDS,2/26/2022 4:44,2/26/2022 4:51,SOUTH,SAM,S3
ASSISTANCE RENDERED,911,1,DIST - IP/JO - DV DIST - NO ASLT,DISTURBANCE - OTHER,2/26/2022 4:38,2/26/2022 4:50,NORTH,UNION,U3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/26/2022 4:31,2/26/2022 4:34,WEST,KING,K3
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/26/2022 4:18,2/26/2022 4:18,SOUTHWEST,WILLIAM,W1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),2,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/26/2022 3:26,2/26/2022 5:12,EAST,EDWARD,E3
